Data;Campeonato;Estadio;Mandante;Visitante;GOLS_H;GOLS_A;Goleiro;Jog1;Jog2;Jog3;Jog4;Jog5;Jog6;Jog7;Jog8;Jog9;Jog10;Jog11;Jog12;Jog13;Jog14;Jog15;Jog16;Jog17;Jog18;Jog19;Jog20;Jog21;Jog22;Jog23;Jog24;LINK
24/01/1915; Amistoso;Castelões; SC Savoia; Palestra Italia;0;2; Stillitano; Bonato; Fúlvio; Police; Bianco Gambini; Valle; Cavinato; Américo Fiaschi; Alegretti; Amílcar Barbuy; Ferre; Valle;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19150124-savoia-x-palestra-italia-amistoso-1915/
29/06/1915; Amistoso;Velódromo; Paulistano; Palestra Italia;4;1; Fornasari; Bonato; Bianco Gambini; Police; Lagreca; Valle; Fabbi; Ítalo; Fabbi; Ferre; Aldighieri; Bianco;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19150629-paulistano-x-palestra-italia-amistoso-1915/
03/10/1915; Amistoso;Velódromo; Santos; Palestra Italia;7;0; Stillitano; Felice; Fúlvio; Police; Fragassi; Ernesto Imparato; Pastore; Américo Fiaschi; Amílcar Barbuy; Ferre; Ítalo;;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19151003-santos-x-palestra-italia-amistoso-1915/
19/12/1915; Taça Caridade;Velódromo; Palestra Italia; A.A.das Palmeiras;0;0; Nilo; Navarria; Galliano; Olivieri; Ceirullo; Valle; Valle; Salerno; Fragassi; Fabbi; Cavinato;;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19151219-palestra-italia-x-a-a-das-palmeiras-taca-caridade-1915/
19/12/1915; Taça Caridade;Velódromo; Palestra Italia; Combinado Mackenzie/Wanderers;0;1; Nilo; Navarria; Galliano; Olivieri; Ceirullo; Valle; Valle; Salerno; Fragassi; Fabbi; Cavinato;;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19151219-palestra-italia-x-combinado-mackenziewanderers-taca-caridade-1915/
19/12/1915; Taça Caridade;Velódromo; Palestra Italia; Paulistano;0;2; Nilo; Navarria; Galliano; Olivieri; Ceirullo; Valle; Valle; Salerno; Fragassi; Fabbi; Cavinato;;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19151219-palestra-italia-x-paulistano-taca-caridade-1915/
02/01/1916; Amistoso;Campo do Marinheiros FC; Marinheiros; Palestra Italia;2;4; Migliari; Galliano; Grimaldi; Ceirullo; Delascio; Valle; Valle; Zirillo; Olivieri; Fabbi; Bernardini; Fábio Ferre;Tommaso Mauri;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19160102-marinheiros-2x4-palestra-italia-amistoso-1916/
16/01/1916; Amistoso;Rua Major Maragliano; Palestra Italia; Marinheiros;0;3; Migliari; Grimaldi; Ricco; Ceirullo; Delascio; Galliano; Salerno; Valle; Olivieri; Fabbi; Bernardini; Fábio Ferre;Tommaso Mauri;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19160116-palestra-italia-x-marinheiros-amistoso-1916/
23/01/1916; Amistoso;N/D; São Caetano E.C.; Palestra Italia;1;5; Migliari; Grimaldi; Ricco; Ceirullo; Delascio; Galliano; Bruno; Valle; Olivieri; Fabbi; Bernardini; Fábio Ferre;Tommaso Mauri;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19160123-sao-caetano-ec-1x5-palmeiras-amistoso-1916/
19/03/1916; Amistoso;Av.Cons.Nebias; Santos; Palestra Italia;5;0; Morlin; Grimaldi; Ricco; Gobatto; de Nardi; Delascio; Valle; Severino; Fabbi; Mazziero; Bernardini; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19160319-palestra-italia-x-santos-amistoso-1916/
13/05/1916; Campeonato Paulista;Floresta; Mackenzie; Palestra Italia;1;1; Fabbrini; Grimaldi; Bianco Gambini; Ricco; Fabbi; de Biasi; Gobatto; Valle; Vescovini; Bernardini; Severino; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19160513-mackenzie-x-palestra-italia-campeonato-paulista-1916/
28/05/1916; Campeonato Paulista;Floresta; Ypiranga; Palestra Italia;2;3; Fabbrini; Grimaldi; Bianco Gambini; Ricco; Fabbi; de Biasi; Gobatto; Valle; Bertolini; Bernardini; Severino; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19160528-ypiranga-x-palestra-italia-campeonato-paulista-1916/
18/06/1916; Campeonato Paulista;Floresta; Palestra Italia; A.A.das Palmeiras;1;2; Migliari; Grimaldi; Bianco Gambini; Gobatto; Fabbi; de Biasi; Dandrea; Vescovini; Bertolini; Bernardini; Severino; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19160618-palestra-italia-x-a-a-das-palmeiras-campeonato-paulista-1916/
02/07/1916; Amistoso;Floresta; A.A.das Palmeiras; Palestra Italia;4;1; Morino; Grimaldi; Bianco Gambini; Dandrea; Fabbi; de Biasi; Gobatto; Vescovini; Ado; Bernardini; Aldighieri; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19160702-a-a-das-palmeiras-x-palestra-italia-campeonato-paulista-1916/
23/07/1916; Amistoso;Floresta; Palestra Italia; Campinas Black Team;5;2; Migliari; Grimaldi; Dandrea; Fabbi; Bianco Gambini; Bertolini; Gobatto; Ottani; Vescovini; Bernardini; Severino; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19160723-palestra-italia-x-black-team-amistoso-1916/
03/09/1916; Amistoso;N/D; Comercial; Palestra Italia;2;4; Fabbrini; Grimaldi; Bianco Gambini; Gobatto; Fabbi; de Biasi; Saverio; Vescovini; Bertolini; Bernardini; Severino; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19160903-comercial-2x4-palestra-italia-amistoso-1916/
10/09/1916; Campeonato Paulista;Floresta; Paulistano; Palestra Italia;3;1; Fabbrini; Grimaldi; Bianco Gambini; Gobatto; Fabbi; de Biasi; Saverio; Vescovini; Bertolini; Bernardini; Severino; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19160910-paulistano-x-palestra-italia-campeonato-paulista-1916/
20/09/1916; Campeonato Paulista;Floresta; A.A.São Bento; Palestra Italia;2;1; Migliari; Grimaldi; de Biasi; Fabbi; Bianco Gambini; Bertolini; Forte; Vescovini; Gobatto; Saverio; Severino; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19160920-sao-bento-de-sao-caetano-do-sul-x-palestra-italia-campeonato-paulista-1916/
24/09/1916; Campeonato Paulista;Floresta; Palestra Italia; Santos;4;2; Flosi; Grimaldi; de Biasi; Fabbi; Bianco Gambini; Bertolini; Forte; Vescovini; Gobatto; Saverio; Severino; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19160924-palestra-italia-x-santos-campeonato-paulista-1916/
01/10/1916; Amistoso;N/D; Paulista de São Carlos; Palestra Italia;2;2; Migliari; Flosi; Grimaldi; Bertolini; Bianco Gambini; de Nardi; Severino; Fabbi; de Biasi; Valle; Forte; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19161001-paulista-de-sao-carlos-2x2-palestra-italia-amistoso-1916/
08/10/1916; Campeonato Paulista;Floresta; Paulistano; Palestra Italia;2;1; Migliari; Grimaldi; Bianco Gambini; Bertolini; Fabbi; de Biasi; Flosi; Forte; Forte; Saverio; Severino; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19161008-paulistano-x-palestra-italia-campeonato-paulista-1916/
15/10/1916; Campeonato Paulista;Floresta; A.A.São Bento; Palestra Italia;0;0; Migliari; Flosi; Grimaldi; Bertolini; Bianco Gambini; Fabbi; Severino; Valle; Gobatto; Saverio; Bernardini; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19161015-sao-bento-de-sao-caetano-do-sul-x-palestra-italia-campeonato-paulista-1916/
22/10/1916; Amistoso;Vera Cruz; Caçapavense; Palestra Italia;1;1; Migliari; Flosi; Grimaldi; Fabbi; Bertolini; Severino; Gobatto; Valle; Bianco Gambini; Bernardini; Saverio; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19161022-cacapavense-x-palestra-italia-amistoso-1916/
29/10/1916; Amistoso;N/D; Comercial; Palestra Italia;3;0; Migliari; Flosi; Grimaldi; Fabbi; Bertolini; de Biasi; Gobatto; Valle; Bianco Gambini; Cassari; Severino; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19161029-comercial-3x0-palestra-italia-amistoso-1916/
05/11/1916; Campeonato Paulista;Floresta; Palestra Italia; Mackenzie;1;3; Migliari; Flosi; Grimaldi; Bertolini; Bianco Gambini; Fabbi; Severino; Valle; Gobatto; Saverio; Forte; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19161105-palestra-italia-x-mackenzie-campeonato-paulista-1916/
12/11/1916; Amistoso;Hipódromo Campineiro; Guarani; Palestra Italia;0;0; Migliari; Flosi; Grimaldi; Ítalo; Bianco Gambini; Fabbi; Forte; Heitor; Picagli; Saverio; Severino; Giuseppe Roberti;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19161112-guarani-x-palestra-italia-amistoso-1916/
26/11/1916; Campeonato Paulista;Floresta; Palestra Italia; Ypiranga;2;4; Migliari; Grimaldi; Bianco Gambini; Bertolini; Fabbi; Flosi; Morelli; Valle; Forte; Saverio; Severino; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19161126-palestra-italia-x-ypiranga-campeonato-paulista-1916/
03/12/1916; Campeonato Paulista;Floresta; A.A.das Palmeiras; Palestra Italia;1;4; Migliari; Flosi; Grimaldi; Severino; Bianco Gambini; Fabbi; Forte; Gobatto; Heitor; Saverio; Ippólito; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19161203-a-a-das-palmeiras-x-palestra-italia-campeonato-paulista-1916/
